2026/04/25 16:06:06.780, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.64 W
2026/04/25 16:10:17.284, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.61 W
2026/04/25 16:10:22.304, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.49 W
2026/04/25 16:10:27.312, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.60 W
2026/04/25 16:10:32.319, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.45 W
2026/04/25 16:10:37.327, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.46 W
2026/04/25 16:10:42.335, 0 %, 0 %, 5 MiB, 20143 MiB, 28, 11.42 W
2026/04/25 16:10:47.344, 0 %, 0 %, 1949 MiB, 18199 MiB, 30, 34.43 W
2026/04/25 16:10:52.355, 0 %, 0 %, 1949 MiB, 18199 MiB, 31, 30.83 W
2026/04/25 16:10:57.363, 0 %, 0 %, 1949 MiB, 18199 MiB, 31, 30.95 W
2026/04/25 16:11:02.373, 0 %, 0 %, 1949 MiB, 18199 MiB, 32, 31.06 W
2026/04/25 16:11:07.379, 0 %, 0 %, 1949 MiB, 18199 MiB, 30, 11.59 W
2026/04/25 16:11:12.386, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.61 W
2026/04/25 16:11:17.403, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.65 W
2026/04/25 16:11:22.413, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.46 W
2026/04/25 16:11:27.421, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.51 W
2026/04/25 16:11:32.428, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.48 W
2026/04/25 16:11:37.435, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.43 W
2026/04/25 16:11:42.445, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 11.43 W
2026/04/25 16:11:47.457, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.27 W
2026/04/25 16:11:52.468, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.41 W
2026/04/25 16:11:57.476, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.27 W
2026/04/25 16:12:02.483, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.33 W
2026/04/25 16:12:07.506, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.36 W
2026/04/25 16:12:12.515, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.55 W
2026/04/25 16:12:17.526, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.40 W
2026/04/25 16:12:22.535, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.40 W
2026/04/25 16:12:27.542, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.52 W
2026/04/25 16:12:32.555, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.40 W
2026/04/25 16:12:37.565, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.41 W
2026/04/25 16:12:42.574, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.52 W
2026/04/25 16:12:47.583, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.42 W
2026/04/25 16:12:52.602, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.49 W
2026/04/25 16:12:57.613, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.38 W
2026/04/25 16:13:02.623, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.41 W
2026/04/25 16:13:07.630, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.46 W
2026/04/25 16:13:12.640, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.38 W
2026/04/25 16:13:17.648, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.37 W
2026/04/25 16:13:22.655, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.42 W
2026/04/25 16:13:27.666, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.32 W
2026/04/25 16:13:32.674, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.47 W
2026/04/25 16:13:37.682, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.50 W
2026/04/25 16:13:42.703, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.51 W
2026/04/25 16:13:47.713, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.40 W
2026/04/25 16:13:52.720, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.43 W
2026/04/25 16:13:57.727, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.55 W
2026/04/25 16:14:02.734, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.59 W
2026/04/25 16:14:07.746, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.59 W
2026/04/25 16:14:12.755, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.39 W
2026/04/25 16:14:17.766, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.51 W
2026/04/25 16:14:22.774, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.56 W
2026/04/25 16:14:27.782, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.58 W
2026/04/25 16:14:32.801, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.58 W
2026/04/25 16:14:37.810, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.54 W
2026/04/25 16:14:42.819, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.53 W
2026/04/25 16:14:47.830, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.43 W
2026/04/25 16:14:52.840, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.41 W
2026/04/25 16:14:57.847, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.48 W
2026/04/25 16:15:02.856, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.32 W
2026/04/25 16:15:07.864, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.42 W
2026/04/25 16:15:12.873, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.34 W
2026/04/25 16:15:17.886, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.34 W
2026/04/25 16:15:22.908, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.35 W
2026/04/25 16:15:27.920, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.37 W
2026/04/25 16:15:32.933, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.35 W
2026/04/25 16:15:37.946, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.41 W
2026/04/25 16:15:42.961, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.44 W
2026/04/25 16:15:47.970, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.50 W
2026/04/25 16:15:52.983, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.40 W
2026/04/25 16:15:58.006, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.32 W
2026/04/25 16:16:03.019, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.15 W
2026/04/25 16:16:08.030, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.26 W
2026/04/25 16:16:13.044, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.24 W
2026/04/25 16:16:18.056, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.30 W
2026/04/25 16:16:23.071, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.24 W
2026/04/25 16:16:28.083, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.37 W
2026/04/25 16:16:33.107, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.29 W
2026/04/25 16:16:38.114, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.36 W
2026/04/25 16:16:43.123, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.16 W
2026/04/25 16:16:48.130, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.23 W
2026/04/25 16:16:53.141, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.26 W
2026/04/25 16:16:58.150, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.21 W
2026/04/25 16:17:03.163, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.38 W
2026/04/25 16:17:08.171, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.32 W
2026/04/25 16:17:13.180, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.32 W
2026/04/25 16:17:18.198, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.22 W
2026/04/25 16:17:23.208, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.43 W
2026/04/25 16:17:28.216, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.48 W
2026/04/25 16:17:33.226, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.41 W
2026/04/25 16:17:38.235, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.48 W
2026/04/25 16:17:43.248, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.42 W
2026/04/25 16:17:48.258, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.34 W
2026/04/25 16:17:53.268, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.28 W
2026/04/25 16:17:58.276, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.26 W
2026/04/25 16:18:03.283, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.40 W
2026/04/25 16:18:08.301, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.38 W
2026/04/25 16:18:13.311, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.30 W
2026/04/25 16:18:18.320, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.38 W
2026/04/25 16:18:23.330, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.33 W
2026/04/25 16:18:28.337, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.36 W
2026/04/25 16:18:33.348, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.38 W
2026/04/25 16:18:38.357, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.25 W
2026/04/25 16:18:43.370, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.45 W
2026/04/25 16:18:48.381, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.45 W
2026/04/25 16:18:53.400, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.42 W
2026/04/25 16:18:58.410, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.35 W
2026/04/25 16:19:03.433, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.34 W
2026/04/25 16:19:08.445, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.48 W
2026/04/25 16:19:13.453, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.38 W
2026/04/25 16:19:18.461, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.37 W
2026/04/25 16:19:23.470, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.37 W
2026/04/25 16:19:28.479, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.34 W
2026/04/25 16:19:33.486, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.34 W
2026/04/25 16:19:38.506, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.37 W
2026/04/25 16:19:43.516, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.27 W
2026/04/25 16:19:48.526, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.13 W
2026/04/25 16:19:53.535, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.42 W
2026/04/25 16:19:58.543, 0 %, 0 %, 1949 MiB, 18199 MiB, 27, 11.38 W
2026/04/25 16:20:03.556, 0 %, 0 %, 1949 MiB, 18199 MiB, 29, 22.37 W
2026/04/25 16:20:08.566, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.55 W
2026/04/25 16:20:13.575, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.42 W
2026/04/25 16:20:18.588, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.46 W
2026/04/25 16:20:23.686, 0 %, 0 %, 1949 MiB, 18199 MiB, 28, 11.48 W
2026/04/25 16:20:28.887, 2 %, 0 %, 3767 MiB, 16381 MiB, 30, 31.73 W
2026/04/25 16:20:33.907, 0 %, 0 %, 6183 MiB, 13965 MiB, 31, 32.69 W
2026/04/25 16:20:38.986, 0 %, 0 %, 20137 MiB, 11 MiB, 31, 31.49 W
2026/04/25 16:20:44.103, 0 %, 0 %, 20137 MiB, 11 MiB, 32, 31.48 W
2026/04/25 16:20:49.288, 0 %, 0 %, 20137 MiB, 11 MiB, 32, 31.51 W
2026/04/25 16:20:54.386, 0 %, 0 %, 20137 MiB, 11 MiB, 33, 31.52 W
2026/04/25 16:20:59.489, 0 %, 0 %, 20137 MiB, 11 MiB, 31, 11.98 W
2026/04/25 16:21:04.505, 0 %, 0 %, 20137 MiB, 11 MiB, 30, 11.79 W
2026/04/25 16:21:09.515, 0 %, 0 %, 20137 MiB, 11 MiB, 30, 11.76 W
2026/04/25 16:21:14.524, 0 %, 0 %, 20137 MiB, 11 MiB, 30, 11.72 W
2026/04/25 16:21:19.535, 0 %, 0 %, 20137 MiB, 11 MiB, 30, 11.74 W
2026/04/25 16:21:24.547, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.67 W
2026/04/25 16:21:29.557, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.70 W
2026/04/25 16:21:34.568, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.70 W
2026/04/25 16:21:39.576, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.60 W
2026/04/25 16:21:44.587, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.52 W
2026/04/25 16:21:49.609, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.59 W
2026/04/25 16:21:54.618, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.67 W
2026/04/25 16:21:59.627, 0 %, 0 %, 20137 MiB, 11 MiB, 29, 11.52 W
2026/04/25 16:22:04.636, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.70 W
2026/04/25 16:22:09.645, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.59 W
2026/04/25 16:22:14.656, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.55 W
2026/04/25 16:22:19.670, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.61 W
2026/04/25 16:22:24.678, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.49 W
2026/04/25 16:22:29.686, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.49 W
2026/04/25 16:22:34.704, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.52 W
2026/04/25 16:22:39.715, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.44 W
2026/04/25 16:22:44.723, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.51 W
2026/04/25 16:22:49.732, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.48 W
2026/04/25 16:22:54.742, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.41 W
2026/04/25 16:22:59.750, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.40 W
2026/04/25 16:23:04.757, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.35 W
2026/04/25 16:23:09.767, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.28 W
2026/04/25 16:23:14.776, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.42 W
2026/04/25 16:23:19.785, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.42 W
2026/04/25 16:23:24.803, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.39 W
2026/04/25 16:23:29.812, 0 %, 0 %, 20137 MiB, 11 MiB, 28, 11.44 W
2026/04/25 16:23:34.819, 44 %, 47 %, 4 MiB, 20143 MiB, 28, 18.40 W
2026/04/25 16:23:40.542, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.58 W
2026/04/25 16:23:45.551, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.57 W
2026/04/25 16:23:50.560, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.58 W
2026/04/25 16:23:55.568, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.41 W
2026/04/25 16:24:00.579, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.44 W
2026/04/25 16:24:05.601, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.45 W
2026/04/25 16:24:10.610, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.39 W
2026/04/25 16:24:15.620, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.46 W
2026/04/25 16:24:20.629, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.38 W
2026/04/25 16:24:25.637, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.40 W
2026/04/25 16:24:30.645, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.36 W
2026/04/25 16:24:35.653, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.52 W
2026/04/25 16:24:40.663, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.44 W
2026/04/25 16:24:45.672, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.27 W
2026/04/25 16:24:50.683, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.21 W
2026/04/25 16:24:55.701, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.36 W
2026/04/25 16:25:00.710, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.41 W
2026/04/25 16:25:05.725, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.47 W
2026/04/25 16:25:10.737, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.44 W
2026/04/25 16:25:15.752, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.43 W
2026/04/25 16:25:20.764, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.50 W
2026/04/25 16:25:25.776, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.33 W
2026/04/25 16:25:30.802, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.38 W
2026/04/25 16:25:35.814, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.33 W
2026/04/25 16:25:40.834, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.38 W
2026/04/25 16:25:45.844, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.45 W
2026/04/25 16:25:50.860, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.23 W
2026/04/25 16:25:55.877, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.32 W
2026/04/25 16:26:00.917, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.42 W
2026/04/25 16:26:05.931, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.28 W
2026/04/25 16:26:10.949, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.32 W
2026/04/25 16:26:15.959, 0 %, 0 %, 2 MiB, 20146 MiB, 28, 11.24 W
2026/04/25 16:26:20.974, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.28 W
2026/04/25 16:26:26.005, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.33 W
2026/04/25 16:26:31.018, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.41 W
2026/04/25 16:26:36.034, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.35 W
2026/04/25 16:26:41.053, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.33 W
2026/04/25 16:26:46.086, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.37 W
2026/04/25 16:26:51.109, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.36 W
2026/04/25 16:26:56.121, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.47 W
2026/04/25 16:27:01.133, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.35 W
2026/04/25 16:27:06.145, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.45 W
2026/04/25 16:27:11.154, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.30 W
2026/04/25 16:27:16.166, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.41 W
2026/04/25 16:27:21.175, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.18 W
2026/04/25 16:27:26.183, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.34 W
2026/04/25 16:27:31.206, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.42 W
2026/04/25 16:27:36.216, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.28 W
2026/04/25 16:27:41.228, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.43 W
2026/04/25 16:27:46.236, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.30 W
2026/04/25 16:27:51.247, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.42 W
2026/04/25 16:27:56.257, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.23 W
2026/04/25 16:28:01.266, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.20 W
2026/04/25 16:28:06.274, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.32 W
2026/04/25 16:28:11.281, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.37 W
2026/04/25 16:28:16.301, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.26 W
2026/04/25 16:28:21.312, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.37 W
2026/04/25 16:28:26.354, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.31 W
2026/04/25 16:28:31.363, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.45 W
2026/04/25 16:28:36.373, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.33 W
2026/04/25 16:28:41.383, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.35 W
2026/04/25 16:28:46.403, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.44 W
2026/04/25 16:28:51.415, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.40 W
2026/04/25 16:28:56.424, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.32 W
2026/04/25 16:29:01.433, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.41 W
2026/04/25 16:29:06.443, 0 %, 0 %, 2 MiB, 20146 MiB, 27, 11.53 W
